,model_name,image_name,threshold,buds_predicted,true_positive_x,true_positive_y,true_positive_distance,true_positive_norm_distance
0,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0766.jpg,100,1,615.5404333231614,453.79646017699116,23.9448804318271,23.9448804318271
1,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0485.jpg,100,1,478.0890594198817,555.6110954660659,10.2726899537384,10.2726899537384
2,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0674.jpg,100,1,534.2141183362625,461.4695371997657,5.731844280014226,5.731844280014226
3,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0417.jpg,100,1,550.8234284488307,506.5990130873203,4.102814375852942,4.102814375852942
4,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0136.jpg,100,1,520.3604651162791,506.80232558139534,8.96928536970848,8.96928536970848
5,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0570.jpg,100,0,,,,
6,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0119.jpg,100,1,526.0774719673802,514.6253822629969,0.590926886327091,0.590926886327091
7,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0595.jpg,100,1,499.29928235585254,514.4453353130414,13.069779009729205,13.069779009729205
8,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0758.jpg,100,1,609.685966913862,522.3593839132915,2.724834245474872,2.724834245474872
9,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0479.jpg,100,1,470.4048472992066,455.55743940875993,5.831712907826309,5.831712907826309
10,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0330.jpg,100,1,553.3027037247117,487.3739837398374,48.9220991429535,48.9220991429535
11,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0379.jpg,100,0,,,,
12,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0443.jpg,100,2,545.9197431781702,490.3996789727127,36.19241500010465,36.19241500010465
13,7FCMN16rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0025.jpg,100,1,556.2094488188976,433.05433070866144,3.5661865872909284,3.5661865872909284
