,model_name,image_name,threshold,buds_predicted,true_positive_x,true_positive_y,true_positive_distance,true_positive_norm_distance
0,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0766.jpg,100,1,605.5962624945676,453.1464580617123,33.660106859446735,33.660106859446735
1,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0485.jpg,100,1,477.4700817907878,561.1773568661214,14.31171865014066,14.31171865014066
2,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0674.jpg,100,1,533.8567998628023,455.7108557708798,1.3872671887325223,1.3872671887325223
3,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0417.jpg,100,1,548.7429289068472,507.4422845910233,5.43328141165284,5.43328141165284
4,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0136.jpg,100,1,518.8138854035968,521.5253032204099,8.335188463695227,8.335188463695227
5,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0570.jpg,100,0,,,,
6,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0119.jpg,100,1,525.0329012961116,515.1989032901296,0.8406229881035592,0.8406229881035592
7,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0595.jpg,100,1,494.45440602342444,530.7774679308421,29.43545092421115,29.43545092421115
8,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0758.jpg,100,1,611.6149606299213,524.055905511811,3.6421367725993634,3.6421367725993634
9,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0479.jpg,100,1,471.1865497877003,456.4558279687714,4.65911786746816,4.65911786746816
10,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0330.jpg,100,2,561.9695512820513,404.42628205128204,38.08370440158845,38.08370440158845
11,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0379.jpg,100,2,533.4137404580152,487.9778625954198,66.80333097989877,66.80333097989877
12,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0443.jpg,100,2,556.7251414713015,563.6669361358124,38.06618044861453,38.06618044861453
13,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0025.jpg,100,1,556.1655518394649,433.33277591973246,3.847340227087575,3.847340227087575
14,7FCMN8rmsprop_lr0.0001_prep_keras_dp0.001_ep125.h5,0678.jpg,100,1,586.4826436556187,506.6414983330065,2.0147951038262875,2.0147951038262875
