,model_name,threshold,mask_name,eps,min_samples,buds_predicted,true_positive_x,true_positive_y,true_positive_distance,true_positive_norm_distance
0,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0001.png,10,50,1,522.0931011386471,512.4440723375753,4.564167128779052,0.07702032029814651
1,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0010.png,10,50,2,487.81707740367926,485.2939951405762,2.3934905426077497,0.0469652940773323
2,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0015.png,10,50,0,,,,
3,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0018.png,10,50,2,462.14966832504143,448.3258706467662,1.831994603224337,0.03122718073677848
4,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0021.png,10,50,0,,,,
5,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0025.png,10,50,1,551.7562076749435,426.1390519187359,5.813736976181276,0.10166508960938761
6,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0036.png,10,50,1,469.17459138187223,448.0319465081724,2.269607102593378,0.03218455450106156
7,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0037.png,10,50,1,522.7415241057543,499.56982892690513,3.429606258191108,0.0589054509994656
8,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0043.png,10,50,0,,,,
9,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0049.png,10,50,1,410.6766265060241,548.7812048192771,4.359662672178203,0.06688118872091563
10,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0052.png,10,50,1,455.86170212765956,542.6353965183753,1.1916180944799981,0.015350042247595397
11,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0058.png,10,50,1,440.0127620783956,481.4074749316317,5.254318011002437,0.09637675699528925
12,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0059.png,10,50,0,,,,
13,0FCMN8rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,01_0061.png,10,50,3,508.6634980988593,515.9638783269962,21.466515934486655,0.694959148958201
